Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
0.0,7.048583936691284,5.292000102996826,5.292000102996826,14.009380066470252,0.0,0.0,107.0,133.0,121.0,133.42399597167972,1.9579399824142456,1.4700000286102295,,,,,1.2003813392949512,28.71069042481575
0.05,8.808552074432374,7.056000137329103,6.174000120162964,14.00990214866856,0.11256399750709534,0.08820003271102905,107.0,133.0,121.0,133.42399597167972,2.446820020675659,1.9600000381469729,9.777600765228271,9.800000190734867,,,1.717825363652256,28.777812894552014
0.1,8.173655605443292,8.820000171661377,7.056000137329102,14.010243685332322,0.2402231991291046,0.20090001821517944,107.0,133.0,121.0,133.42399597167972,2.2704598904009146,2.450000047683716,-3.5272026054948924,9.800000190734858,,,0.5812025655237312,inf
0.15000000000000002,4.180355787309537,10.584000205993652,7.9380001544952385,14.008985198195598,0.3182069957256317,0.33810003101825714,107.0,133.0,121.0,133.42399597167972,1.161209940919316,2.940000057220459,-22.184998989631964,9.80000019073486,,,0.0,inf
0.2,1.8214883565991318,10.747439861297623,8.499888095855715,14.007219173013215,0.3551882952451706,0.4934903234243393,107.0,133.0,121.0,133.42399597167972,0.5059689879442033,2.985399961471562,-13.104819059502256,0.9079980850220617,,,0.0,inf
0.25,0.4832711935087697,7.768655776977547,8.378016042709353,14.006471809411275,0.3684550933539867,0.6180078238248825,107.0,133.0,121.0,133.42399597167972,0.13424199819688046,2.1579599380493186,-7.434539794946459,-16.548800468444874,,,0.0,inf
0.30000000000000004,0.2290363222372522,4.8948121547699035,7.880415487289432,14.00649110703543,0.3686984963715077,0.7016720250248909,107.0,133.0,121.0,133.42399597167972,0.06362120062145894,1.3596700429916397,-1.4124159515084291,-15.965797901153564,,,0.0,inf
0.35000000000000003,0.5667552173138691,0.2858890101483613,6.931099677646798,14.006646839406507,0.3750072978436947,0.7303070276975632,107.0,133.0,121.0,133.42399597167972,0.15743200480940808,0.07941361393010037,1.8762160837589832,-25.605128581230794,,,0.01060610805296055,179.50705738724798
0.4,0.6878268063072419,1.2601369874799058,6.3009927120726985,14.00662817684958,0.3840645961463451,0.7427060306072235,107.0,133.0,121.0,133.42399597167972,0.19106300175201163,0.35003805207775157,0.672619938852071,5.412488762953025,,,0.0,inf
0.45,0.6899400115014843,1.8184629647126125,5.85273973733669,14.006563871416366,0.39372849836945534,0.7652130350470543,107.0,133.0,121.0,133.42399597167972,0.19165000319485676,0.505128601309059,0.01174002885690251,3.1018109846261495,-0.27030428343806023,,0.0,inf
0.5,0.6322068035605926,2.026972872019429,5.526237014238951,14.006492978459521,0.40287309885025024,0.792537234723568,107.0,133.0,121.0,133.42399597167972,0.1756130009890535,0.5630480200053969,-0.3207400441160652,1.1583883739267578,-0.18666686366052698,,0.0,inf
0.55,0.5493851780894436,1.968872116739347,5.017524212179977,14.006442538005945,0.4109780974686146,0.8204819299280643,107.0,133.0,121.0,133.42399597167972,0.15260699391373433,0.5469089213164853,-0.46012014150638286,-0.322781973778232,-0.27051146444104973,,0.0,inf
0.6000000000000001,0.4610340178013928,1.729535861567718,4.30847778117061,14.00642073979817,0.4178710971027613,0.8460397310554981,107.0,133.0,121.0,133.42399597167972,0.12806500494483133,0.480426628213255,-0.49083977937805956,-1.3296458620646046,-0.3541642613506547,,0.0,inf
0.65,0.3774420082574361,1.3871400696923215,3.3887917675404764,14.006421605221796,0.4235687982290983,0.8673418313264847,107.0,133.0,121.0,133.42399597167972,0.10484500229373225,0.38531668602564484,-0.46440005302198223,-1.9021988437522055,-0.38810178750125135,,0.0,inf
0.7000000000000001,0.3033583223822571,1.0069669479663872,2.4147444762073533,14.006433445616524,0.4281817972660065,0.8835074603557587,107.0,133.0,121.0,133.42399597167972,0.08426620066173808,0.2797130411017742,-0.41157603263988307,-2.112072898477411,-0.37778442280464897,,0.0,inf
0.75,0.2403558075429061,0.6386228208463041,1.701741180594229,14.006445748501172,0.4318574974313377,0.8944362299516797,107.0,133.0,121.0,133.42399597167972,0.0667655020952517,0.17739522801286223,-0.35001397132972806,-2.046356261778242,-0.3415847922058118,,0.0,inf
0.8,0.18827712535861246,0.3157469204047876,1.2438346571577177,14.006452499790699,0.4347500577569008,0.9005879303440452,107.0,133.0,121.0,133.42399597167972,0.05229920148850346,0.08770747789021877,-0.28932601213496445,-1.7937550024528677,-0.29450448918444727,,0.0,inf
0.8500000000000001,0.1461164340377419,0.05750393185031396,1.2209961493279131,14.00645233684406,0.4370033275336027,0.9027666309848428,107.0,133.0,121.0,133.42399597167972,0.040587898343817194,0.015973314402864987,-0.2342260628937252,-1.4346832697470744,-0.24580436159445745,,0.0008208156183340623,568.7995529358147
0.9,0.11252231598016668,0.12993202109928312,1.1079756526898508,14.00644696520341,0.4387440071441233,0.9035951318219304,107.0,133.0,121.0,133.42399597167972,0.03125619888337963,0.0360922280831342,-0.1866339892087515,0.40237827360538475,-0.2004616920739336,,0.00011777107275045678,inf
0.95,0.08608464002611263,0.2480902631470129,0.9509383825332908,14.006439215237027,0.440079307416454,0.9064501309767364,107.0,133.0,121.0,133.42399597167972,0.023912400007253507,0.06891396198528137,-0.1468759775225227,0.6564346780429442,-0.16076292536189626,,0.0,inf
1.0,0.06549515873204334,0.30600415902955064,0.778841511234303,14.006431599312256,0.4410974472993985,0.9104385310783982,107.0,133.0,121.0,133.42399597167972,0.018193099647789816,0.08500115528598629,-0.11438600718927373,0.3217438660140981,-0.12757029952022586,,0.0,inf
1.05,0.049583879114136684,0.3157810439369869,0.613532403954067,14.00642562888467,0.4418699273373932,0.9148196317255496,107.0,133.0,121.0,133.42399597167972,0.013773299753926856,0.08771695664916303,-0.08839599787725912,0.0543160272635348,-0.10107375921429024,,0.0,inf
1.1,0.037382399663331664,0.29079293479265506,0.4696581112765609,14.00642177515937,0.4424532283446752,0.9190339017659426,107.0,133.0,121.0,133.42399597167972,0.010383999906481018,0.08077581522018196,-0.0677859969489167,-0.1388228285796213,-0.08088832503744553,,0.0,inf
1.15,0.028077228181296085,0.2439270764667138,0.3553368119540001,14.006419780411566,0.44289203331572935,0.9227057714015244,107.0,133.0,121.0,133.42399597167972,0.007799230050360023,0.06775752124075383,-0.051695397122420085,-0.2603658795885634,-0.06553037468082377,,0.0,inf
1.2000000000000002,0.0210183832794529,0.186432194770402,0.2732833366344016,14.006419057315078,0.4432209742954001,0.925626571290195,107.0,133.0,121.0,133.42399597167972,0.005838439799848028,0.05178672076955611,-0.0392158050102397,-0.3194160094239528,-0.05226276689509626,,0.0,inf
1.25,0.0,0.12728300628075648,0.22214935517784684,14.006418991047985,0.4432209742954001,0.9277255344204604,107.0,133.0,121.0,133.42399597167972,0.0,0.03535639063354346,-0.11676879599696098,-0.3286066027202541,-0.038607785582329454,,0.0,inf
1.3,0.005314860027604392,0.07293947644603409,0.1978686107819715,14.006419147017596,0.44347987830406055,0.9290360314771532,107.0,133.0,121.0,133.42399597167972,0.0014763500076678867,0.020260965679453912,0.029527000153357706,-0.30190849908179074,-0.024615707961215823,,0.0,inf
1.35,0.0066979079985746365,0.02744507862033739,0.19486272545897385,14.006419275822036,0.4435670823149849,0.9296611114405096,107.0,133.0,121.0,133.42399597167972,0.0018605299996040656,0.007623632950093719,0.007683599838723572,-0.25274665458720363,-0.012877726588023773,,0.0,inf
1.4,0.006826175842903991,0.00724486977925323,0.18259401032697084,14.006419313247509,0.443662144272821,0.9297421313822268,107.0,133.0,121.0,133.42399597167972,0.0018961599563622196,0.0020124638275703416,0.0007125991351630815,-0.11222338245046795,-0.00574633232862968,,5.240027650353871e-06,inf
1.4500000000000002,0.006304860022172021,0.03085784595384969,0.16087076860765456,14.006419267269633,0.4437530862924177,0.9300509213935584,107.0,133.0,121.0,133.42399597167972,0.0017513500061588946,0.008571623876069358,-0.0028961990040664836,0.13118320096997965,-0.003130647029047957,,0.0,inf
